UBPR3230,UBPRE278,UBPRE279,UBPRE291,UBPR4340,UBPR7402,UBPR7414,UBPRE001,UBPRE002,UBPRE006,UBPRE008,UBPRE014,UBPRE015,UBPRE016,UBPRE017,UBPRE544,UBPRE549,UBPRE600,UBPRK447,UBPRD486,OTSREGNM_Central,OTSREGNM_Northeast,OTSREGNM_Southeast,OTSREGNM_West,OTSREGNM_Western,REGAGNT_FDIC,REGAGNT_FED,REGAGNT_OCC,SPECGRPN_Agricultural.Specialization,SPECGRPN_All.Other.Over.1.Billion,SPECGRPN_All.Other.Under.1.Billion,SPECGRPN_Commercial.Lending.Specialization,SPECGRPN_Consumer.Lending.Specialization,SPECGRPN_Credit.card.Specialization,SPECGRPN_International.Specialization,SPECGRPN_Mortgage.Lending.Specialization,SPECGRPN_Other.Specialized.Under.1.Billion
0,0,0,0,4906,0,0.57,3.62,0.45,0.01,0,99.64,73.66,3.63,0.45,0,0.57,107.93,13.87,19.5903,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
430,0,0,0,19260,30.89,0.68,3.61,0.36,0.09,0,93.72,70.22,3.85,0.38,0.6,0.68,75.17,14.92,9.4671,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
60,20614,20614,20614,9845,27.43,0.7,3.54,0.19,0,0,94.5,56.35,3.74,0.2,0.08,0.7,72.62,-26.44,12.2333,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
100,0,0,0,4856,32.95,0,3.23,0.44,0,0.01,97.48,67.79,3.32,0.45,0.17,0,44.25,-3.38,10.2886,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
100,38173,38173,38173,2490,21.08,0.1,4.14,0.48,0.46,0,88.52,76.89,4.68,0.54,0.68,0.1,82.3,34.09,6.9142,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
200,0,0,0,1476,83.81,0.9,2.59,0.3,0,-0.01,94.36,47.27,2.74,0.32,0.23,0.9,39.85,-2.61,10.869,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,14662,0,14662,3135,0,0.31,2.76,0.19,0.02,0.02,94.25,74.56,2.93,0.2,0.36,0.31,80.49,-0.48,19.6479,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2816,0,0,0,244,0,0,2.13,0.43,0,-0.01,96.52,52.93,2.2,0.44,0,0,21.64,-73.58,14.4915,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
495,0,0,0,10002,14.82,0.01,2.68,0.24,0.04,0,95.52,69.46,2.8,0.26,0.2,0.01,41.25,-8.65,9.2173,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
20000,0,0,0,31668,94.14,0.02,3.34,0.27,0,0,95.06,64.83,3.52,0.28,0.07,0.02,73.34,4.91,7.7361,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
300,0,0,0,2538,44.92,0.08,4.51,0.51,0.02,0.02,93.88,67.69,4.81,0.55,0.06,0.08,82.16,7.69,8.699,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,6491,3.31,0.01,4.65,0.67,0.37,0.03,97.2,76.95,4.78,0.69,0.13,0.01,87.23,-0.83,8.5978,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14298,16439,16439,16439,1699,44.14,0.02,3.63,0.67,0.06,0,94.32,79.23,3.85,0.71,0.09,0.02,110.77,5.8,13.0859,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
